,Brand,Model,Mileage,Equipment,Origin,First Owner,Year,Price
34843,hyundai,Accent,2500,"['Alloy Wheels', 'CD/MP3/Bluetooth']",WW in Morocco,Yes,2012,130000000.0
56039,renault,Kangoo,425000,['Central Locking'],WW in Morocco,No,2012,7200000.0
56051,bmw,Serie 1,2500,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Electric Windows']",WW in Morocco,No,2012,1370000.0
37583,volkswagen,Amarok,195000,"['ABS', 'Airbags', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Cruise Control', 'Leather Seats', 'Central Locking', 'Electric Windows']",WW in Morocco,No,2012,1650000.0
77755,isuzu,D-MAX,225000,"['Electric Windows', 'Rear Camera']",WW in Morocco,No,2013,1270000.0
92916,citroen,DS 5,225000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS']",WW in Morocco,No,2013,1200000.0
96879,ford,Focus,145000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Electric Windows']",WW in Morocco,No,2013,1200000.0
42151,mitsubishi,L200,2500,"['Leather Seats', 'Leather Seats']",WW in Morocco,Yes,2013,1005000.0
51526,dacia,Logan,500001,"['Alloy Wheels', 'Central Locking']",WW in Morocco,No,2013,630226531.0
48760,ford,Focus,225000,['Alloy Wheels'],WW in Morocco,Yes,2013,1250000.0
43213,dacia,Duster,175000,"['ABS', 'Airbags', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",WW in Morocco,No,2013,1050000.0
44819,ford,Transit,155000,"['CD/MP3/Bluetooth', 'Leather Seats']",WW in Morocco,No,2014,14300000.0
15032,mercedes-benz,classe_a_berline,225000,"['Rear Camera', 'Air Conditioning', 'Speed Limiter', 'Cruise Control', 'Electric Windows']",WW in Morocco,No,2014,1450000.0
87436,hyundai,ix 35,165000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Central Locking']",WW in Morocco,No,2014,1500000.0
77484,volkswagen,Touran,225000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Central Locking']",Customs-cleared car,Yes,2014,1800000.0
74797,hyundai,Elantra,135000,"['Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Alloy Wheels', 'Speed Limiter', 'Cruise Control', 'Navigation System/GPS', 'Electric Windows']",WW in Morocco,No,2014,1200000.0
4346,ford,Kuga,7500,"['Rear Camera', 'Air Conditioning', 'Alloy Wheels', 'Central Locking']",WW in Morocco,Yes,2014,1420000.0
66564,dacia,Duster,185000,"['Electric Windows', 'CD/MP3/Bluetooth']",WW in Morocco,No,2014,1150000.0
1583,jaguar,XF,225000,"['ABS', 'Airbags', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",WW in Morocco,No,2014,1375000.0
49229,fiat,500,145000,"['Rear Camera', 'Electric Windows']",WW in Morocco,Yes,2014,661541639.0
44160,volkswagen,GOLF 7,225000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",Customs-cleared car,No,2015,2400000.0
42552,dacia,Duster,165000,"['Rear Camera', 'CD/MP3/Bluetooth']",Customs-cleared car,No,2015,674736819.0
47484,volkswagen,Caddy,185000,"['Leather Seats', 'Leather Seats']",WW in Morocco,No,2015,1300000.0
86774,renault,12,195000,"['Airbags', 'Air Conditioning', 'Speed Limiter', 'Parking Sensors', 'Navigation System/GPS', 'Electric Windows']",Imported New,No,2015,11000000.0
33705,seat,MALAGA,17500,"['Alloy Wheels', 'Speed Limiter', 'Cruise Control', 'Navigation System/GPS', 'Electric Windows']",WW in Morocco,No,2015,628548723.0
39403,land rover,Range Rover,115000,"['Leather Seats', 'CD/MP3/Bluetooth']",Imported New,No,2015,5200000.0
39353,volkswagen,Polo,145000,"['CD/MP3/Bluetooth', 'Leather Seats']",WW in Morocco,No,2015,900000000.0
34090,chevrolet,CMP,7500,"['Air Conditioning', 'Navigation System/GPS', 'Sunroof', 'Electric Windows']",WW in Morocco,No,2015,10000000.0
44068,bmw,Serie 3,155000,"['CD/MP3/Bluetooth', 'Air Conditioning', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Leather Seats', 'Central Locking', 'Electric Windows']",WW in Morocco,No,2015,1905000.0
36018,dacia,Dokker,7500,"['ABS', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Cruise Control', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",WW in Morocco,Yes,2015,1100000.0
73039,mercedes-benz,220,7500,"['Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Onboard Computer', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",Customs-cleared car,Yes,2015,2700000.0
52374,citroen,C4 Aircross,12500,"['Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning']",Customs-cleared car,Yes,2015,1300000.0
64192,hyundai,Elantra,7500,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'Alloy Wheels', 'Central Locking']",WW in Morocco,Yes,2015,1350000.0
63140,kia,Ceed,165000,"['ABS', 'Airbags', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Electric Windows']",WW in Morocco,No,2015,12000000.0
55068,mercedes-benz,Classe C,175000,"['CD/MP3/Bluetooth', 'Electric Windows']",Customs-cleared car,No,2015,3850000.0
88812,mercedes-benz,Classe C,175000,"['Rear Camera', 'Rear Camera']",Customs-cleared car,No,2015,3850000.0
55731,ford,Ranger,22500,"['Leather Seats', 'Electric Windows']",WW in Morocco,No,2015,1900000.0
49537,volkswagen,Jetta,155000,"['ABS', 'Airbags', 'Rear Camera', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Central Locking', 'Electric Windows']",WW in Morocco,No,2016,1330000.0
97240,volkswagen,Touran,135000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",Customs-cleared car,No,2016,24000000.0
34663,bmw,X5,17500,"['Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",WW in Morocco,Yes,2016,2800000.0
64481,mercedes-benz,Classe GLE,225000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",WW in Morocco,No,2016,32000000.0
32539,mitsubishi,L200,325000,"['Alloy Wheels', 'Leather Seats']",WW in Morocco,No,2016,12000000.0
32392,dacia,Sandero,155000,"['Leather Seats', 'Leather Seats']",WW in Morocco,Yes,2016,1100000.0
60142,hyundai,Santa Fe,105000,"['Electric Windows', 'Rear Camera']",WW in Morocco,Yes,2016,2100000.0
59379,ford,Kuga,165000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Central Locking', 'Electric Windows']",WW in Morocco,No,2016,1600000.0
49078,ford,Kuga,125000,"['ABS', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",WW in Morocco,No,2016,1530000.0
49542,volkswagen,Jetta,155000,"['ABS', 'Airbags', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Central Locking']",WW in Morocco,No,2016,1330000.0
16550,audi,Q5,165000,"['Air Conditioning', 'Leather Seats']",Customs-cleared car,Yes,2016,2900000.0
48267,hyundai,i 30,195000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",WW in Morocco,No,2016,13500000.0
86485,ford,Fusion,27500,"['Leather Seats', 'Leather Seats']",WW in Morocco,No,2016,661676492.0
46571,volkswagen,GOLF 7,195000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Cruise Control', 'Navigation System/GPS', 'Electric Windows']",WW in Morocco,No,2016,1650000.0
44546,fiat,500,52500,"['Rear Camera', 'CD/MP3/Bluetooth']",Car not yet customs-cleared,No,2017,1130000.0
66963,opel,Astra,62500,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking']",WW in Morocco,Yes,2017,1450000.0
15634,ford,Focus,165000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'Speed Limiter', 'Parking Sensors', 'Central Locking']",WW in Morocco,Yes,2017,1400000.0
40604,bmw,x6m,185000,"['ABS', 'Airbags', 'Rear Camera', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",WW in Morocco,Yes,2017,4500000.0
86891,nissan,Qashqai,87500,"['Rear Camera', 'Leather Seats']",WW in Morocco,Yes,2017,1750000.0
43086,toyota,Hilux,175000,"['CD/MP3/Bluetooth', 'Electric Windows']",WW in Morocco,Yes,2017,1800000.0
60985,skoda,Octavia,135000,"['Alloy Wheels', 'CD/MP3/Bluetooth']",WW in Morocco,Yes,2017,1700000.0
87825,chrysler,Grand Voyager,175000,"['Rear Camera', 'Alloy Wheels', 'Speed Limiter', 'Leather Seats', 'Central Locking']",WW in Morocco,No,2017,2100000.0
43307,renault,Clio,275000,"['CD/MP3/Bluetooth', 'Leather Seats']",Customs-cleared car,Yes,2017,1050000.0
55234,volkswagen,GOLF PLUS,155000,"['CD/MP3/Bluetooth', 'Electric Windows']",Imported New,No,2017,32000000.0
64401,hyundai,Santa Fe,2500,"['Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Cruise Control', 'Leather Seats', 'Sunroof', 'Central Locking', 'Electric Windows']",WW in Morocco,No,2017,2000000.0
85769,volkswagen,Touareg,135000,"['ABS', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Central Locking', 'Electric Windows']",WW in Morocco,No,2017,1800000.0
75602,land rover,Range Rover Sport,125000,"['Leather Seats', 'Electric Windows']",Customs-cleared car,No,2018,7100000.0
40456,renault,Clio,12500,"['Air Conditioning', 'Speed Limiter', 'Cruise Control', 'Electric Windows']",WW in Morocco,Yes,2018,661229726.0
39523,audi,A6,135000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",WW in Morocco,No,2018,2450000.0
64551,ford,Transit,17500,"['Alloy Wheels', 'Electric Windows']",Customs-cleared car,Yes,2018,19000000.0
64616,audi,Q5,17500,"['Leather Seats', 'Leather Seats']",Imported New,Yes,2018,4400000.0
66930,dacia,Duster,17500,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",WW in Morocco,No,2018,1550000.0
60575,audi,A6,135000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Electric Windows']",WW in Morocco,No,2018,2450000.0
101773,mercedes-benz,Classe G,32500,"['Leather Seats', 'CD/MP3/Bluetooth']",Imported New,Yes,2018,1560000.0
71102,audi,A6,135000,"['ABS', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",WW in Morocco,No,2018,2450000.0
37988,fiat,500,7500,"['Electric Windows', 'Leather Seats']",WW in Morocco,No,2018,1100000.0
95814,audi,A6,135000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",WW in Morocco,No,2018,2450000.0
14088,audi,A3,165000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",Customs-cleared car,Yes,2018,2950000.0
14665,dacia,Dokker,195000,"['Alloy Wheels', 'CD/MP3/Bluetooth']",Customs-cleared car,No,2018,11000000.0
16243,audi,A6,135000,"['Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",WW in Morocco,No,2018,2450000.0
82937,audi,A6,135000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",WW in Morocco,No,2018,2450000.0
92419,audi,A6,135000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",WW in Morocco,No,2018,2450000.0
19895,audi,A6,135000,"['Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",WW in Morocco,No,2018,2450000.0
21230,bmw,Serie 5,125000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking']",WW in Morocco,No,2018,3550000.0
5521,audi,A6,135000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",WW in Morocco,No,2018,2450000.0
26787,fiat,FIORINO,225000,"['Leather Seats', 'Alloy Wheels']",WW in Morocco,No,2018,1050000.0
27868,audi,A6,135000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",WW in Morocco,No,2018,2450000.0
31180,renault,Clio,125000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",WW in Morocco,No,2018,1201999.0
12539,audi,A6,135000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",WW in Morocco,No,2018,2450000.0
83003,peugeot,Tepee,115000,"['Rear Camera', 'Alloy Wheels', 'Electric Windows']",WW in Morocco,No,2018,1250000.0
33921,renault,Clio,12500,"['Rear Camera', 'Leather Seats']",WW in Morocco,Yes,2018,701057871.0
10340,audi,sq8,105000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Electric Windows']",Imported New,No,2019,8200000.0
20286,citroen,C-Elysée,125000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Onboard Computer', 'Central Locking']",WW in Morocco,No,2019,1117000.0
88141,nissan,280,2500,"['Rear Camera', 'Alloy Wheels', 'Parking Sensors']",WW in Morocco,Yes,2019,2000000.0
50718,volkswagen,Tiguan,17500,"['Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",Customs-cleared car,Yes,2019,4500000.0
39334,renault,Kangoo,135000,"['CD/MP3/Bluetooth', 'Air Conditioning', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",WW in Morocco,No,2019,1190000.0
34982,dacia,Dokker,135000,"['CD/MP3/Bluetooth', 'Leather Seats']",WW in Morocco,No,2019,1111111.0
93138,dacia,Dokker,2500,"['Electric Windows', 'Alloy Wheels']",WW in Morocco,No,2019,1180000.0
28009,kia,Picanto,7500,['Air Conditioning'],Customs-cleared car,Yes,2019,600816958.0
60559,renault,Kangoo,135000,"['Leather Seats', 'Rear Camera']",WW in Morocco,No,2019,1230000.0
8805,dacia,Duster,77500,"['ABS', 'Airbags', 'Rear Camera', 'Cruise Control', 'Electric Windows']",WW in Morocco,No,2019,1700000.0
86456,mercedes-benz,Classe G,62500,"['Rear Camera', 'Alloy Wheels']",Imported New,Yes,2019,2200000.0
66698,nissan,Qashqai,115000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Sunroof', 'Central Locking', 'Electric Windows']",WW in Morocco,Yes,2019,1980000.0
37141,porsche,Panamera,67500,"['Alloy Wheels', 'Electric Windows']",Imported New,No,2019,1070000.0
49123,dacia,Dokker,17500,"['Electric Windows', 'Leather Seats']",WW in Morocco,Yes,2019,1120000.0
87737,land rover,Range Rover Sport,105000,"['CD/MP3/Bluetooth', 'Alloy Wheels']",Customs-cleared car,Yes,2019,661049493.0
80479,volkswagen,Tiguan,185000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Cruise Control', 'Navigation System/GPS', 'Electric Windows']",Customs-cleared car,No,2019,360000000.0
101000,bmw,M5,72500,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",Imported New,No,2019,1200000.0
77916,mercedes-benz,Classe GLA,115000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",Customs-cleared car,Yes,2019,4000000.0
94094,hyundai,Tucson,7500,"['Leather Seats', 'Rear Camera']",WW in Morocco,No,2019,2300000.0
21285,jaguar,XF,57500,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",WW in Morocco,Yes,2020,3600000.0
73402,dacia,Duster,92500,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",WW in Morocco,Yes,2020,1640000.0
59231,bmw,Serie 8,67500,"['CD/MP3/Bluetooth', 'Leather Seats']",Imported New,No,2020,1100000.0
13844,mercedes-benz,Classe G,47500,"['Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",Imported New,Yes,2020,1650000.0
57904,peugeot,309,27500,"['ABS', 'Airbags', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking']",Imported New,Yes,2020,1100000.0
60397,volkswagen,Tiguan,92500,"['CD/MP3/Bluetooth', 'Alloy Wheels']",Customs-cleared car,Yes,2020,4600000.0
35066,volkswagen,Tiguan,165000,"['Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",Customs-cleared car,Yes,2020,3300000.0
62684,renault,Kangoo,32500,"['Electric Windows', 'Leather Seats']",WW in Morocco,Yes,2020,602959440.0
61251,renault,Clio,22500,"['Leather Seats', 'Leather Seats']",WW in Morocco,No,2020,1100000.0
85282,audi,Q5,185000,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",WW in Morocco,Yes,2020,3390000.0
43376,bmw,Serie 8 gran coupé,67500,"['Alloy Wheels', 'Alloy Wheels']",Imported New,No,2020,1180000.0
43470,peugeot,208,97500,"['CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'Alloy Wheels', 'Onboard Computer', 'Cruise Control']",WW in Morocco,Yes,2020,12000000.0
95855,land rover,Range Rover Evoque,27500,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",Imported New,No,2020,4700000.0
